,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
63,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,kiwis,fruits,insects,E
64,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,vultures,birds,reptiles,F
65,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,oranges,fruits,insects,F
66,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,salmon,fishes,birds,G
67,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,bears,mammals,fruit,G
68,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,tunas,fishes,birds,H
69,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,monkeys,mammals,fruit,H
70,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,trouts,fishes,birds,I
71,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,cows,mammals,fruit,I
72,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,tortoises,reptiles,mammals,A
73,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,beetles,insects,fishes,A
74,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,pythons,reptiles,mammals,B
75,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,bees,insects,fishes,B
76,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,parrots,birds,reptiles,C
77,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,watermellon,fruits,insects,C
78,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,pigeons,birds,reptiles,D
79,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,kiwis,fruits,insects,D
80,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,vultures,birds,reptiles,E
81,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,oranges,fruits,insects,E
82,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,salmon,fishes,birds,F
83,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,bears,mammals,fruit,F
